Winter Training Hat,http://www.champ-sys.com.au/custom/triathlon/accessories/winter-training-hat.html,winter-training-hat,"<p style='text-align: left;'>Classic winter training hat with drawstring closure that can be used as a hat or gaiter.&#xA0;The bottom is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;to keep your ears and forehead warm.&#xA0;The top is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece fabric</a> to allow for increased breathability. Only the <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;can be printed with your artwork.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>fully sublimated</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Performance Socks,http://www.champ-sys.com.au/custom/triathlon/accessories/performance-socks.html,performance-socks,"<div>Available in  2&quot;, 4&quot; and 6&quot; cuff height.  All socks feature premium double layered cuffs and a hand sewn toe box for unrivalled comfort.</div><br><ul><br><li>A technical performance sock that&apos;s great for a wide range of sports.</li><br><li>Embroided with your logos.</li><br></ul>45% Cotton, 47% Spandex, 8% Nylon<br><p>&#xA0;</p><br><p>&#xA0;</p>",
Bandanna,http://www.champ-sys.com.au/custom/triathlon/accessories/bandanna.html,bandanna,"<h4>Features:</h4><br><ul><br><li>unlimited number of colors at no extra charge</li><br><li>made&#xA0;from our CS&#xA0;Tech&#xA0;moisture-wicking fabric, the same material we use in our cycling jerseys</li><br><li>terrycloth brow</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Time Trial Gloves,http://www.champ-sys.com.au/custom/triathlon/accessories/time-trial-gloves.html,time-trial-gloves,"<p>Not long ago Pro riders started showing up at time trials wearing gloves made specifically for time trials. They were cut longer, extended past the wrist, and there was no Velcro closure. Simply put - they were more aerodynamic.&#xA0; <br> <br> You don&apos;t have to be a pro rider to have these gloves. Champion System is the only company offering custom time trial gloves. Our time trial gloves feature a soft, lightly padded palm so you can feel the bars.&#xA0; There is no velcro closure - you slip the gloves on through a small elastic opening. Once on, they fit tight and don&apos;t move at all.&#xA0;&#xA0;</p><br><p>Perfect for kilos, pursuits and road time trials. If you love TT&apos;s these gloves are a must!<br> &#xA0;</p><br><p>&#xA0;</p>",
Arm Warmer - Fleece,http://www.champ-sys.com.au/custom/triathlon/accessories/arm-warmer-fleece.html,arm-warmer-fleece,"<span style='color: #ff6600;'>Fleece arm warmer </span> featuring flatlock stitching and a custom printable panel.<br><p><br><span style='color: #ff6600;'><b>Features:</b></span><br></p><li>Made from genuine CS Tech Fleece<br></li><li>Flatlock stitching<br></li><li>Superb <span style='color: #ff6600;'>silicone gripper </span>placed inside the elastic to aid in holding the warmers in place.<br></li><li>CS Tech Fleece is an incredibly lightweight and warm brushed fleece. It&apos;s a single-sided fleece, which means that only the inside of the arm warmer is fleece-lined. The outside has a smooth finish.<br><br><p><a href='http://aucustom.champ-sys.com/Login/en-AU/Default.aspx' target='_blank'><img alt='' src='http://www.champ-sys.com.au/media/wysiwyg/Start_Customising_button.jpg' height='54' width='172'></a></p><br><br>                    </li>",
Race Gloves,http://www.champ-sys.com.au/custom/triathlon/accessories/race-gloves.html,race-gloves,"<p>The CS Race Glove is a tight-fitting slip-on style glove.&#xA0; Features a lightly padded palm so you can still feel the bars when racing.&#xA0; This is a true racing glove designed for serious racers.</p><br><p><strong>Features:</strong></p><br><ul type='disc'><br><li class='MsoNormal' style='color: black;'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>unlimited number of colors </span></li><br><li class='MsoNormal' style='color: black;'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>slip-on design (no velcro closure)</span></li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p>",
Euro Cap Winter,http://www.champ-sys.com.au/custom/triathlon/accessories/euro-cap-winter.html,euro-cap-winter,"<h4>Features:</h4><br><ul><br><li>Classic four panel euro-style winter hat.</li><br><li>The front is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a> while the rest of the hat is made from our <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a>.&#xA0; Only the front can be printed with your designs.</li><br><li>Unlimited number of colours.</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Speed Shoe Cover,http://www.champ-sys.com.au/custom/triathlon/accessories/speed-shoe-cover.html,speed-shoe-cover,"<p>Another Champion System exclusive! The Speed Shoe Cover is made from the same fabric we use in our CS Long Sleeve Speed Suits and CS Short Sleeve Speed Suits.&#xA0;&#xA0;It&apos;s a wind tunnel-tested dimple fabric developed by the Swiss company Eschler.&#xA0; All the top pro teams are using this fabric for their time trial skinsuits and we&apos;ve taken it a step further by also offering it in a shoe cover design.&#xA0; A must for serious time trialists, track riders or anybody else looking for an aero advantage.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>rear zipper for easy entry</li><br><li>heal and cleat cutouts</li><br><li>superb ankle grippers</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p>",
Cycle Cap Fleece,http://www.champ-sys.com.au/custom/triathlon/accessories/cycle-cap-fleece.html,cycle-cap-fleece,"<h4>Features:</h4><br><ul><br><li>A Champion System original. Have you ever worn a cycling cap under your helmet on a cool day?&#xA0;Now picture a cycling cap made entirely from our exclusive <a href='champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a>&#xA0;&#x2014; the same lightweight fleece we use in our arm/leg/knee warmers.&#xA0;Fits snug and tight so it will work great under your helmet. A must for spring and fall riding!</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Summer Gloves,http://www.champ-sys.com.au/custom/triathlon/accessories/summer-gloves.html,summer-gloves,"<h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>fully sublimated lycra back</li><br><li>padded palm</li><br><li>velcro closure</li><br><li>terrycloth thumb</li><br><li>pull tabs on the middle fingers for easy removal (see picture)</li><br></ul><br><p>&#xA0;</p>",
