Product,Url,uniqueName,Description
Short Sleeve Skinsuit,http://www.champ-sys.com.au/custom/short-sleeve-skinsuit.html,short-sleeve-skinsuit,"                       <h4>Features:</h4><br><ul><br><li>Unlimited number of colours</li><br><li>4-Way&#xAE; stretch specific chamois </li><br><li>Standard elastic leg grippers</li><br><li>lycra colors available in black, red, blue, navy, green and gray</li><br></ul><br><p><strong><br></strong></p>                    "
Cyclocross Skinsuit,http://www.champ-sys.com.au/custom/cyclocross-skinsuit.html,cyclocross-skinsuit,"                       <p>Designed specifically for the cyclocross racer in mind. Take  our regular skinsuit but fleece line it for the ultimate in warmth during the cold cyclocross season.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>entire suit is fleece-lined for warmth</li><br><li>available with either Veloce, Granfondo or Donna Forte Chamois&#xA0;</li><br><li>4-Way&#xAE; stretch chamois&#xA0;</li><br><li>no extra charge for colored shorts</li><br><li>no extra charge for back panel printing</li><br><li>no extra charge for full long-sleeve artwork</li><br><li>Note: The skinsuit picture on the left is the design we made for current World Junior Champion Tijmen Eising of Team Revor.&#xA0;We don&apos;t make a &quot;pro&quot; and &quot;amateur&quot; uniform - you will be racing in the same cyclocross skinsuit as a world champion!</li><br></ul><br><p><strong><br></strong></p>                    "
Casual Tech Pants,http://www.champ-sys.com.au/custom/casual-tech-pants.html,casual-tech-pants,"                       <p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our many sponsored athletes and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric.&#xA0; The best part is that it can be fully sublimated.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.</p><br><p>&#xA0;</p>                    "
Hybrid Jacket,http://www.champ-sys.com.au/custom/hybrid-jacket.html,hybrid-jacket,"                       <p>The Champion System Hybrid Jacket is the perfect jacket for active use in a wide range of sports. The front of the jacket and sleeves feature our <a href='http://champ-sys.com.au/cycling/fabrics'>CS WindGuard</a> fabric, offering complete windproof protection. On the back, the upper utilizes CS WindGuard fabric, while the lower portion is made from a heavyweight fleece fabric. Only the CS WindGuard fabric areas can be printed with your logos. Additional features include two rear zippered pockets and two-way front&#xA0;zipper. Available in set-in sleeve design only.</p>                    "
Tech Long Sleeve Jersey,http://www.champ-sys.com.au/custom/tech-long-sleeve-jersey.html,tech-long-sleeve-jersey,"                       <p>Made from the same <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech fabric</a> used in our Short Sleeve Jersey, our Long Sleeve Jersey is perfect for cool days when you want to take the chill off in cooler temperatures. For a warmer jacket we suggest our CS Tech Fleece Jacket - it&apos;s fleece lined and ideal for spring and fall riding. Picture a long sleeve fleece-lined jersey and that&apos;s the CS Tech Fleece Jacket.</p><br><h4><strong>Features:</strong></h4><br><ul><br><li>unlimited number of colors</li><br><li>three rear pockets</li><br><li>high collar</li><br><li>separate side panels</li><br><li>no extra charge for 3/4 or full length zippers<strong><br> </strong></li><br></ul><br><p><strong><strong>&#xA0;</strong></strong></p>                    "
Bib Knickers,http://www.champ-sys.com.au/custom/bib-knickers.html,bib-knickers,"                       <p>3/4 Length lycra bib knickers come half way up the calf - ideal to take off the winter chill.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>mesh&#xA0;shoulder straps</li><br></ul>                    "
Thermoshield Vest,http://www.champ-sys.com.au/custom/thermoshield-vest.html,thermoshield-vest,"                       <h4>Features:</h4><br><ul><br>    <li>made from our exclusive <a href='http://www.champ-sys.com.au/our-fabrics/'>CS ThermoShield fabric</a></li><br>    <li>unlimited number of colors</li><br>    <li>full concealed zipper</li><br>    <li>high collar</li><br>    <li>separate side panels</li><br>    <li>three rear pockets<b><br><br>    </b></li><br></ul>                    "
Long Sleeve Skinsuit,http://www.champ-sys.com.au/custom/long-sleeve-skinsuit.html,long-sleeve-skinsuit,"                       <h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>4-Way&#xAE; stretch chamois </li><br><li>no extra charge for coloured shorts</li><br><li>no extra charge for back panel printing</li><br><li>no extra charge for full long sleeve artwork</li><br><li>Standard elastic leg grippers</li><br></ul><br><p><strong><br></strong></p>                    "
Tech Fleece Long Sleeve  Jersey ,http://www.champ-sys.com.au/custom/tech-fleece-long-sleeve-jersey.html,tech-fleece-long-sleeve-jersey,"                       <p>A Champion System exclusive! While we love our ThermoShield Winter Jacket,&#xA0;the fact is it&apos;s designed for serious winter riding and sometimes it&apos;s too warm. &#xA0;The CS Tech Fleece&#xA0;Jersey is the answer! We&apos;ve made a lightweight&#xA0;fleece jersey&#xA0;that is perfect for spring and autumn riding.&#xA0;Made from the same CS Tech Fleece fabric used in our arm, leg and knee warmers,&#xA0; this lightweight jacket is ideal when a Long Sleeve Jersey is not enough and a ThermoShield Winter Jacket&#xA0;is too much.</p><br><h4><strong><span style='font-family: Arial; font-size: small;'>Features:</span></strong></h4><br><ul><br><li><span style='font-family: Arial; font-size: small;'>unlimited number of colors</span></li><br><li><span style='font-family: Arial; font-size: small;'>brushed fleece lining</span></li><br><li><span style='font-family: Arial; font-size: small;'>three rear pockets</span></li><br><li><span style='font-family: Arial; font-size: small;'>high collar</span></li><br><li><span style='font-family: Arial; font-size: small;'>separate side panels</span></li><br><li><span style='font-family: Arial; font-size: small;'>full concealed zipper</span></li><br></ul><br>                    "
Arm Warmer - Fleece,http://www.champ-sys.com.au/custom/arm-warmer-fleece.html,arm-warmer-fleece,"                       <span style='color: #ff6600;'>Fleece arm warmer </span> featuring flatlock stitching and a custom printable panel.<br><p><br><span style='color: #ff6600;'><b>Features:</b></span><br></p><li>Made from genuine CS Tech Fleece<br></li><li>Flatlock stitching<br></li><li>Superb <span style='color: #ff6600;'>silicone gripper </span>placed inside the elastic to aid in holding the warmers in place.<br></li><li>CS Tech Fleece is an incredibly lightweight and warm brushed fleece. It&apos;s a single-sided fleece, which means that only the inside of the arm warmer is fleece-lined. The outside has a smooth finish.<br><br><p><a href='http://aucustom.champ-sys.com/Login/en-AU/Default.aspx' target='_blank'><img alt='' src='http://www.champ-sys.com.au/media/wysiwyg/Start_Customising_button.jpg' height='54' width='172'></a></p><br><br>                    </li>"
Cycle Cap Fleece,http://www.champ-sys.com.au/custom/cycle-cap-fleece.html,cycle-cap-fleece,"                       <h4>Features:</h4><br><ul><br><li>A Champion System original. Have you ever worn a cycling cap under your helmet on a cool day?&#xA0;Now picture a cycling cap made entirely from our exclusive <a href='champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a>&#xA0;&#x2014; the same lightweight fleece we use in our arm/leg/knee warmers.&#xA0;Fits snug and tight so it will work great under your helmet. A must for spring and fall riding!</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>                    "
Cycle Shorts,http://www.champ-sys.com.au/custom/cycle-shorts.html,cycle-shorts,"                       <p>The&#xA0;<strong>CS Cycle Short</strong>&#xA0;has been developed over a number of years to be leading the custom market for comfort and design.&#xA0;</p><br><p>Our short now features our exclusive&#xA0;<strong>CS&#xA0;Contour</strong>&#xA0;Fabric. This fabric was developed specifically for our needs and features a revolutionary yarn layup that promotes increased breathability, compression and comfort.&#xA0;</p><br><p><strong>NOTE: Children&apos;s Sizing Available at $85.00 per cycle short </strong></p><br><p><strong>Features:</strong></p><br><p>-&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;CS&#xA0;CONTOUR&#xA0;LYCRA&#xA0;exclusive to CS, imported directly from Italy.</p><br><p>- &#xA0; &#xA0; &#xA0; &#xA0; &#xA0;83%&#xA0;Polyester&#xA0; 17% Spandex fabric blend, 360g/y fabric weight.</p><br><p>-&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;Unlimited colours.</p><br><p>-&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;Double rear panel.</p><br><p>-&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0; 3 anatomic panel options.</p><br><p>-&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;&#xA0;Silicone leg grippers.</p><br><p>- &#xA0; &#xA0; &#xA0; &#xA0; &#xA0;Male and Female Specific sizing and chamois.</p><br><p>&#xA0;</p>                    "
Performance Socks,http://www.champ-sys.com.au/custom/performance-socks.html,performance-socks,"                       <div>Available in  2&quot;, 4&quot; and 6&quot; cuff height.  All socks feature premium double layered cuffs and a hand sewn toe box for unrivalled comfort.</div><br><ul><br><li>A technical performance sock that&apos;s great for a wide range of sports.</li><br><li>Embroided with your logos.</li><br></ul>45% Cotton, 47% Spandex, 8% Nylon<br><p>&#xA0;</p><br><p>&#xA0;</p>                    "
Short Sleeve Speed Suit,http://www.champ-sys.com.au/custom/short-sleeve-speed-suit.html,short-sleeve-speed-suit,"                       <p style='text-align: left;'>Have you noticed the pro riders wearing special skinsuits in time trials?&#xA0;We have and now we make the same style skinsuit.&#xA0;Made from a special wind tunnel-tested dimple fabric developed by the Swiss company Eschler, the CS Speed Suit is a must for any serious time trial or track rider.</p><br><p style='text-align: left;'>* This suit is designed specifically for the elite rider. It is designed to be worn on the bike - it is hard to put on and it is tight.</p><br><h4>Features:</h4><br><ul><br><li>Unlimited number of colours</li><br><li>4-way stretch specific speedsuit chamois<p><br></p></li><li>Fabric injection leg grippers</li><br><li>Escheler dimple fabric for a proven aerodynamic advantage</li><br></ul><br><p><a href='http://www.cyclingnews.com/news/photos/boardman-calls-bobridges-pursuit-record-phenomenal/156941 '>Click here</a><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'> to see a picture of Word Pursuit Record holder <span style='color: #221e1f;'>Jack Bobridge using the same Champion System custom speed suit on route to smashing the world record.</span></span></p>                    "
Leg Warmer - Fleece,http://www.champ-sys.com.au/custom/leg-warmer-fleece.html,leg-warmer-fleece,"                       <p>Full length fleece leg warmers with flatlock stitching and custom printable panels</p><br><h4>Features:</h4><br><ul><br><li>YKK&#xA0;zippered ankles with reflective piping</li><br><li>Made from genuine <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a></li><br><li>Superb grippers to keep the warmers in place.</li><br><li>About CS Tech Fleece: CS Tech Fleece is an incredibly lightweight and warm brushed fleece.&#xA0;It&#x2019;s a single-sided fleece, which means that only the inside of the&#xA0;arm warmer&#xA0;is fleece-lined. The outside has a smooth finish.<span style='font-family: Arial;'><span><span style='font-size: small;'> <br> </span></span></span></li><br></ul><br><div>&#xA0;</div>                    "
Summer Gloves,http://www.champ-sys.com.au/custom/summer-gloves.html,summer-gloves,"                       <h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>fully sublimated lycra back</li><br><li>padded palm</li><br><li>velcro closure</li><br><li>terrycloth thumb</li><br><li>pull tabs on the middle fingers for easy removal (see picture)</li><br></ul><br><p>&#xA0;</p>                    "
Winter Training Hat,http://www.champ-sys.com.au/custom/winter-training-hat.html,winter-training-hat,"                       <p style='text-align: left;'>Classic winter training hat with drawstring closure that can be used as a hat or gaiter.&#xA0;The bottom is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;to keep your ears and forehead warm.&#xA0;The top is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece fabric</a> to allow for increased breathability. Only the <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;can be printed with your artwork.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>fully sublimated</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>                    "
BMX / Downhill Jersey,http://www.champ-sys.com.au/custom/bmx-downhill-jersey.html,bmx-downhill-jersey,"                       <h4><v:shapetype coordsize='21600,21600' o:spt='75' o:preferrelative='t' path='m@4@5l@4@11@9@11@9@5xe' filled='f' stroked='f' id='_x0000_t75'>Features:</v:shapetype></h4><br><ul><br>    <li>unlimited number of colors at no extra charge.</li><br>    <li><a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech</a> multi-dry fabric for superior wicking on the front and sleeves, mesh back for increased ventilation.</li><br>    <li>available in 3/4 or full length sleeves (pictured is the 3/4 sleeve)</li><br></ul><br><p>&#xA0;</p>                    "
Neoprene Shoe Cover,http://www.champ-sys.com.au/custom/neoprene-shoe-cover.html,neoprene-shoe-cover,"                       <p style='text-align: left;'>Another Champion System exclusive! Neoprene shoe covers are the most wind and water resistant shoe covers on the market, but until now the neoprene fabric could not be sublimated.&#xA0; Champion System is proud to offer the first fully sublimated neoprene shoe cover.&#xA0;This super tight-fitting shoe cover offers the aerodynamics of a lycra shoe cover with the warmth of a neoprene shoe cover.&#xA0;A must for serious winter riding.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>rear zipper for easy entry</li><br><li>heel and cleat cutouts</li><br><li>made from genuine neoprene fabric</li><br></ul>                    "
Lycra Shoe Cover,http://www.champ-sys.com.au/custom/lycra-shoe-cover.html,lycra-shoe-cover,"                       <h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>rear zipper for easy entry</li><br><li>heal and cleat cutouts</li><br><li>superb ankle grippers</li><br><li>available with Silicon grippers</li><br><li>great for time trials, track, criteriums or cool mornings</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p>                    "
Knee Warmer - Fleece,http://www.champ-sys.com.au/custom/knee-warmer-fleece.html,knee-warmer-fleece,"                       <p>Fleece knee warmer featuring flatlock stitching and custom printable panels</p><br><h4>Features:</h4><br><ul><br><li>Made from genuine <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a></li><br><li>Superb grippers to keep the warmers in place.</li><br><li>About CS Tech Fleece: &#xA0; CS Tech Fleece is an incredibly lightweight and warm brushed fleece.&#xA0;It&#x2019;s a single-sided fleece, which means that only the inside of the&#xA0;arm warmer&#xA0;is fleece-lined.&#xA0;The outside has a smooth finish.</li><br></ul>                    "
Wind Guard Jacket,http://www.champ-sys.com.au/custom/wind-guard-jacket.html,wind-guard-jacket,"                       <p>A lightweight shell jacket designed to take the edge off of cold or wet conditions. Compact enough to roll up into a jersey pocket.</p><br><h4>Features:</h4><br><ul><br><li>made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS WindGuard fabric</a></li><br><li>unlimited number of colors</li><br><li>full concealed zipper</li><br><li>high collar</li><br><li>single rear zippered pocket</li><br><li>zippered arm pits for increased ventilation</li><br><li>separate side panels</li><br></ul><br><p>* Please note the Wind Guard Jacket is designed to be a casual fit rather than a race fit jacket. We can recommend going a size down from your jersey.</p><br><p>&#xA0;</p>                    "
Long Sleeve Speed Suit,http://www.champ-sys.com.au/custom/long-sleeve-speed-suit.html,long-sleeve-speed-suit,"                       <p>Have you noticed the pro riders wearing special skinsuits in time trials?&#xA0;We have and now we make the same style skinsuit.&#xA0;Made from a special wind tunnel-tested dimple fabric developed by the Swiss company Eschler, the CS Speed Suit is a must for any serious time trial or track rider.</p><br><p>* This suit is designed specifically for the elite rider. It is designed to be worn on the bike - it is hard to put on and it is tight.</p><br><h4>Features:</h4><br><ul><br><li>Unlimited number of colours</li><br><li>4-way stretch specific speedsuit chamois<p><br></p></li><li>Articulated elbow that is sewn slightly bent to accommodate the aero position</li><br><li>Fabric injection leg grippers</li><br><li>Escheler dimple fabric for a proven aerodynamic advantage</li><br></ul><br><p><a href='http://www.cyclingnews.com/news/photos/boardman-calls-bobridges-pursuit-record-phenomenal/156941 '>Click here</a><span>&#xA0;to see a picture of Word Pursuit Record holder&#xA0;<span>Jack Bobridge using the same Champion System custom speed suit on route to smashing the world record.</span></span></p>                    "
Fleece Shoe Covers,http://www.champ-sys.com.au/custom/custom-fleece-shoe-covers.html,custom-fleece-shoe-covers,"                       <h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>rear zipper for easy entry</li><br><li>heal and cleat cutouts</li><br><li>superb ankle grippers</li><br><li>made from genuine <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a></li><br><li>CS Tech Fleece is an incredibly lightweight and warm brushed fleece.&#xA0;It&#x2019;s a single-sided fleece, which means that only the inside of the&#xA0;arm warmer&#xA0;is fleece-lined.&#xA0;The outside has a smooth finish.<span style='font-family: Arial;'><span style='font-family: Arial;'><span><span style='font-size: small;'> <br> </span></span></span></span></li><br></ul><br><p>&#xA0;</p>                    "
